> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-17 00:00:00.000,   39175164.977,  153731808.648,         41.900,   39175161.105,  325644096.224,         37.100,,,,,,,,,
I02, 2025-01-17 00:00:30.000,   39173321.078,  153724572.353,         43.000,   39173316.875,  325628767.829,         36.900,,,,,,,,,
I02, 2025-01-17 00:01:00.000,   39171465.398,  153717290.929,         42.900,   39171461.281,  325613343.843,         36.300,,,,,,,,,
I02, 2025-01-17 00:01:30.000,   39169598.281,  153709962.922,         42.800,   39169593.914,  325597821.175,         37.400,,,,,,,,,
I02, 2025-01-17 00:02:00.000,   39167718.797,  153702589.125,         42.500,   39167715.230,  325582201.519,         37.000,,,,,,,,,
I02, 2025-01-17 00:02:30.000,   39165828.375,  153695170.398,         43.000,   39165824.973,  325566486.670,         36.900,,,,,,,,,
I02, 2025-01-17 00:03:00.000,   39163925.977,  153687705.937,         42.700,   39163922.848,  325550674.990,         37.600,,,,,,,,,
I02, 2025-01-17 00:03:30.000,   39162012.680,  153680196.098,         43.800,   39162009.117,  325534767.174,         38.200,,,,,,,,,
I02, 2025-01-17 00:04:00.000,   39160087.430,  153672640.871,         42.900,   39160084.160,  325518763.217,         38.100,,,,,,,,,
I02, 2025-01-17 00:04:30.000,   39158150.828,  153665040.965,         43.700,   39158147.715,  325502664.611,         38.100,,,,,,,,,
I02, 2025-01-17 00:05:00.000,   39156202.148,  153657395.774,         44.300,   39156199.820,  325486470.077,         38.600,,,,,,,,,
I02, 2025-01-17 00:05:30.000,   39154242.938,  153649705.520,         43.300,   39154239.887,  325470180.106,         38.300,,,,,,,,,
I02, 2025-01-17 00:06:00.000,   39152272.063,  153641970.596,         44.100,   39152268.418,  325453795.484,         37.400,,,,,,,,,
I02, 2025-01-17 00:06:30.000,   39150289.539,  153634191.392,         43.700,   39150286.148,  325437317.072,         37.900,,,,,,,,,
I02, 2025-01-17 00:07:00.000,   39148295.523,  153626367.822,         45.000,   39148292.781,  325420744.678,         37.500,,,,,,,,,
I02, 2025-01-17 00:07:30.000,   39146291.141,  153618499.651,         44.300,   39146287.758,  325404077.808,         37.600,,,,,,,,,
I02, 2025-01-17 00:08:00.000,   39144274.367,  153610587.022,         44.900,   39144271.414,  325387316.763,         37.100,,,,,,,,,
I02, 2025-01-17 00:08:30.000,   39142246.445,  153602629.757,         43.200,   39142243.688,  325370461.159,         37.600,,,,,,,,,
I02, 2025-01-17 00:09:00.000,   39140207.461,  153594628.292,         44.300,   39140204.699,  325353511.945,         37.700,,,,,,,,,
I02, 2025-01-17 00:09:30.000,   39138157.391,  153586582.641,         44.000,   39138154.574,  325336469.128,         37.500,,,,,,,,,
I02, 2025-01-17 00:10:00.000,   39136095.859,  153578493.277,         45.300,   39136093.172,  325319333.742,         37.400,,,,,,,,,
I02, 2025-01-17 00:10:30.000,   39134023.531,  153570359.576,         43.900,   39134020.375,  325302104.425,         36.900,,,,,,,,,
I02, 2025-01-17 00:11:00.000,   39131939.555,  153562182.431,         43.000,   39131936.465,  325284783.074,         36.700,,,,,,,,,
I02, 2025-01-17 00:11:30.000,   39129844.992,  153553961.806,         44.600,   39129841.281,  325267369.609,         36.700,,,,,,,,,
I02, 2025-01-17 00:12:00.000,   39127738.867,  153545697.671,         44.600,   39127735.137,  325249864.010,         36.900,,,,,,,,,
I02, 2025-01-17 00:12:30.000,   39125621.445,  153537390.430,         45.600,   39125618.117,  325232267.105,         36.600,,,,,,,,,
I02, 2025-01-17 00:13:00.000,   39123493.133,  153529039.169,         45.400,   39123490.160,  325214576.951,         36.600,,,,,,,,,
I02, 2025-01-17 00:13:30.000,   39121354.336,  153520644.798,         45.100,   39121350.965,  325196795.457,         37.600,,,,,,,,,
I02, 2025-01-17 00:14:00.000,   39119204.281,  153512207.549,         46.000,   39119201.008,  325178923.146,         36.800,,,,,,,,,
I02, 2025-01-17 00:14:30.000,   39117043.398,  153503727.556,         46.500,   39117039.965,  325160960.299,         37.300,,,,,,,,,
I02, 2025-01-17 00:15:00.000,   39114871.211,  153495204.289,         44.800,   39114868.016,  325142905.782,         37.300,,,,,,,,,
I02, 2025-01-17 00:15:30.000,   39112688.648,  153486638.630,         45.700,   39112685.340,  325124761.464,         36.900,,,,,,,,,
I02, 2025-01-17 00:16:00.000,   39110494.992,  153478030.404,         45.600,   39110491.609,  325106526.976,         37.900,,,,,,,,,
I02, 2025-01-17 00:16:30.000,   39108290.742,  153469379.755,         45.100,   39108287.023,  325088202.640,         37.300,,,,,,,,,
I02, 2025-01-17 00:17:00.000,   39106075.086,  153460686.186,         43.400,   39106071.719,  325069787.372,         36.900,,,,,,,,,
I02, 2025-01-17 00:17:30.000,   39103849.234,  153451951.294,         44.900,   39103845.855,  325051284.584,         36.600,,,,,,,,,
I02, 2025-01-17 00:18:00.000,   39101612.648,  153443173.616,         45.600,   39101609.223,  325032691.183,         36.500,,,,,,,,,
I02, 2025-01-17 00:18:30.000,   39099365.039,  153434353.925,         45.800,   39099361.582,  325014008.737,         36.600,,,,,,,,,
I02, 2025-01-17 00:19:00.000,   39097106.727,  153425492.174,         46.000,   39097103.031,  324995237.249,         36.000,,,,,,,,,
I02, 2025-01-17 00:19:30.000,   39094838.094,  153416588.996,         44.300,   39094834.293,  324976377.983,         36.800,,,,,,,,,
I02, 2025-01-17 00:20:00.000,   39092558.289,  153407643.817,         44.900,   39092554.809,  324957429.764,         36.900,,,,,,,,,
I02, 2025-01-17 00:20:30.000,   39090268.352,  153398657.078,         45.800,   39090264.898,  324938393.511,         36.300,,,,,,,,,
I02, 2025-01-17 00:21:00.000,   39087967.773,  153389629.055,         45.100,   39087964.508,  324919269.817,         36.200,,,,,,,,,
I02, 2025-01-17 00:21:30.000,   39085656.953,  153380559.481,         43.700,   39085653.289,  324900058.094,         37.000,,,,,,,,,
I02, 2025-01-17 00:22:00.000,   39083335.164,  153371448.530,         46.200,   39083331.508,  324880758.735,         36.200,,,,,,,,,
I02, 2025-01-17 00:22:30.000,   39081003.258,  153362296.856,         45.900,   39080999.531,  324861373.094,         36.700,,,,,,,,,
I02, 2025-01-17 00:23:00.000,   39078660.000,  153353104.285,         46.200,   39078657.223,  324841900.832,         36.900,,,,,,,,,
I02, 2025-01-17 00:23:30.000,   39076307.414,  153343870.868,         45.500,   39076304.148,  324822342.052,         36.100,,,,,,,,,
I02, 2025-01-17 00:24:00.000,   39073944.383,  153334597.068,         45.900,   39073940.770,  324802697.731,         36.400,,,,,,,,,
I02, 2025-01-17 00:24:30.000,   39071570.477,  153325281.990,         45.300,   39071567.113,  324782965.960,         37.300,,,,,,,,,
I02, 2025-01-17 00:25:00.000,   39069186.555,  153315926.455,         45.100,   39069183.156,  324763148.520,         36.300,,,,,,,,,
I02, 2025-01-17 00:25:30.000,   39066792.188,  153306530.646,         45.200,   39066789.023,  324743245.754,         37.000,,,,,,,,,
I02, 2025-01-17 00:26:00.000,   39064387.578,  153297095.107,         45.500,   39064384.824,  324723258.837,         37.000,,,,,,,,,
I02, 2025-01-17 00:26:30.000,   39061972.852,  153287619.323,         43.700,   39061969.828,  324703186.673,         36.000,,,,,,,,,
I02, 2025-01-17 00:27:00.000,   39059548.141,  153278103.440,         45.200,   39059544.730,  324683029.549,         36.600,,,,,,,,,
I02, 2025-01-17 00:27:30.000,   39057113.102,  153268547.310,         45.300,   39057109.441,  324662787.180,         36.700,,,,,,,,,
I02, 2025-01-17 00:28:00.000,   39054667.922,  153258952.061,         44.700,   39054664.164,  324642461.940,         36.900,,,,,,,,,
I02, 2025-01-17 00:28:30.000,   39052212.328,  153249316.813,         44.600,   39052208.883,  324622051.966,         37.100,,,,,,,,,
I02, 2025-01-17 00:29:00.000,   39049747.117,  153239642.435,         45.400,   39049743.926,  324601559.131,         37.500,,,,,,,,,
I02, 2025-01-17 00:29:30.000,   39047271.789,  153229928.529,         43.800,   39047268.734,  324580982.558,         37.500,,,,,,,,,
I02, 2025-01-17 00:30:00.000,   39044786.609,  153220174.687,         44.200,   39044783.047,  324560321.396,         36.500,,,,,,,,,
I02, 2025-01-17 00:30:30.000,   39042290.852,  153210382.226,         45.100,   39042287.559,  324539578.419,         37.500,,,,,,,,,
I02, 2025-01-17 00:31:00.000,   39039785.680,  153200550.968,         45.300,   39039782.387,  324518753.264,         38.000,,,,,,,,,
I02, 2025-01-17 00:31:30.000,   39037270.305,  153190680.907,         45.400,   39037267.504,  324497845.908,         37.800,,,,,,,,,
I02, 2025-01-17 00:32:00.000,   39034745.086,  153180772.077,         44.700,   39034742.125,  324476856.432,         37.800,,,,,,,,,
I02, 2025-01-17 00:32:30.000,   39032210.414,  153170824.059,         44.600,   39032206.941,  324455783.940,         37.000,,,,,,,,,
I02, 2025-01-17 00:33:00.000,   39029665.984,  153160838.031,         44.400,   39029662.219,  324434630.937,         37.900,,,,,,,,,
I02, 2025-01-17 00:33:30.000,   39027111.227,  153150814.032,         44.500,   39027107.711,  324413397.539,         37.300,,,,,,,,,
I02, 2025-01-17 00:34:00.000,   39024546.750,  153140751.373,         43.900,   39024543.207,  324392082.205,         37.400,,,,,,,,,
I02, 2025-01-17 00:34:30.000,   39021972.609,  153130650.394,         43.900,   39021969.176,  324370685.716,         38.400,,,,,,,,,
I02, 2025-01-17 00:35:00.000,   39019389.461,  153120511.768,         44.300,   39019385.645,  324349209.499,         36.700,,,,,,,,,
I02, 2025-01-17 00:35:30.000,   39016795.961,  153110335.263,         44.600,   39016792.672,  324327653.045,         36.900,,,,,,,,,
I02, 2025-01-17 00:36:00.000,   39014193.406,  153100121.034,         44.000,   39014190.109,  324306016.693,         37.400,,,,,,,,,
I02, 2025-01-17 00:36:30.000,   39011581.023,  153089869.327,         43.000,   39011577.828,  324284300.936,         38.100,,,,,,,,,
I02, 2025-01-17 00:37:00.000,   39008958.883,  153079580.647,         44.600,   39008956.074,  324262506.876,         37.600,,,,,,,,,
I02, 2025-01-17 00:37:30.000,   39006327.586,  153069254.385,         43.300,   39006324.602,  324240633.201,         37.300,,,,,,,,,
I02, 2025-01-17 00:38:00.000,   39003686.656,  153058890.668,         43.600,   39003683.477,  324218680.182,         37.000,,,,,,,,,
I02, 2025-01-17 00:38:30.000,   39001036.500,  153048490.169,         45.200,   39001032.930,  324196649.245,         36.200,,,,,,,,,
I02, 2025-01-17 00:39:00.000,   38998376.211,  153038052.467,         44.100,   38998373.082,  324174539.497,         36.700,,,,,,,,,
I02, 2025-01-17 00:39:30.000,   38995706.945,  153027577.541,         44.800,   38995703.590,  324152350.933,         36.800,,,,,,,,,
I02, 2025-01-17 00:40:00.000,   38993028.336,  153017066.795,         44.000,   38993025.012,  324130086.459,         36.000,,,,,,,,,
I02, 2025-01-17 00:40:30.000,   38990341.156,  153006518.935,         44.500,   38990337.363,  324107743.391,         36.900,,,,,,,,,
I02, 2025-01-17 00:41:00.000,   38987643.844,  152995934.606,         43.700,   38987640.527,  324085323.079,         36.900,,,,,,,,,
I02, 2025-01-17 00:41:30.000,   38984937.391,  152985313.911,         44.700,   38984934.102,  324062825.724,         37.000,,,,,,,,,
I02, 2025-01-17 00:42:00.000,   38982221.719,  152974657.105,         44.700,   38982218.488,  324040251.844,         36.600,,,,,,,,,
I02, 2025-01-17 00:42:30.000,   38979497.156,  152963964.457,         43.800,   38979494.180,  324017602.061,         37.300,,,,,,,,,
I02, 2025-01-17 00:43:00.000,   38976763.336,  152953235.659,         44.500,   38976760.395,  323994875.726,         36.300,,,,,,,,,
I02, 2025-01-17 00:43:30.000,   38974020.094,  152942471.160,         43.900,   38974016.668,  323972073.764,         36.400,,,,,,,,,
I02, 2025-01-17 00:44:00.000,   38971267.688,  152931671.000,         44.600,   38971264.059,  323949196.246,         37.100,,,,,,,,,
I02, 2025-01-17 00:44:30.000,   38968507.000,  152920836.043,         43.400,   38968502.879,  323926245.026,         37.100,,,,,,,,,
I02, 2025-01-17 00:45:00.000,   38965736.609,  152909965.220,         43.900,   38965732.719,  323903217.806,         37.000,,,,,,,,,
I02, 2025-01-17 00:45:30.000,   38962957.469,  152899059.231,         45.300,   38962953.531,  323880116.127,         38.100,,,,,,,,,
I02, 2025-01-17 00:46:00.000,   38960169.633,  152888118.373,         44.700,   38960165.617,  323856940.613,         37.200,,,,,,,,,
I02, 2025-01-17 00:46:30.000,   38957372.586,  152877141.320,         44.200,   38957368.281,  323833688.421,         36.100,,,,,,,,,
I02, 2025-01-17 00:47:00.000,   38954566.063,  152866130.005,         44.500,   38954562.527,  323810363.647,         37.000,,,,,,,,,
I02, 2025-01-17 00:47:30.000,   38951751.164,  152855084.176,         43.000,   38951748.035,  323786965.769,         36.600,,,,,,,,,
I02, 2025-01-17 00:48:00.000,   38948927.734,  152844004.616,         44.400,   38948924.676,  323763496.444,         37.300,,,,,,,,,
I02, 2025-01-17 00:48:30.000,   38946096.016,  152832890.862,         43.200,   38946092.418,  323739954.686,         37.500,,,,,,,,,
I02, 2025-01-17 00:49:00.000,   38943255.102,  152821742.977,         43.400,   38943251.664,  323716340.642,         37.000,,,,,,,,,
I02, 2025-01-17 00:49:30.000,   38940404.992,  152810559.831,         43.100,   38940402.090,  323692651.900,         36.700,,,,,,,,,
I02, 2025-01-17 00:50:00.000,   38937547.344,  152799343.357,         43.200,   38937544.020,  323668892.567,         38.100,,,,,,,,,
I02, 2025-01-17 00:50:30.000,   38934679.938,  152788092.221,         44.000,   38934676.910,  323645059.809,         38.700,,,,,,,,,
I02, 2025-01-17 00:51:00.000,   38931804.531,  152776807.280,         43.700,   38931800.918,  323621155.444,         38.300,,,,,,,,,
I02, 2025-01-17 00:51:30.000,   38928920.359,  152765489.756,         44.100,   38928916.996,  323597182.051,         37.700,,,,,,,,,
I02, 2025-01-17 00:52:00.000,   38926027.664,  152754137.390,         43.900,   38926024.359,  323573134.901,         37.500,,,,,,,,,
I02, 2025-01-17 00:52:30.000,   38923126.320,  152742752.158,         44.200,   38923123.043,  323549018.131,         37.100,,,,,,,,,
I02, 2025-01-17 00:53:00.000,   38920216.813,  152731334.679,         43.200,   38920213.262,  323524833.013,         38.400,,,,,,,,,
I02, 2025-01-17 00:53:30.000,   38917298.492,  152719883.477,         44.400,   38917295.422,  323500576.498,         37.800,,,,,,,,,
I02, 2025-01-17 00:54:00.000,   38914372.477,  152708399.752,         44.900,   38914369.164,  323476251.066,         37.800,,,,,,,,,
I02, 2025-01-17 00:54:30.000,   38911437.555,  152696882.890,         43.900,   38911434.422,  323451855.454,         38.400,,,,,,,,,
I02, 2025-01-17 00:55:00.000,   38908495.164,  152685334.032,         44.600,   38908491.414,  323427392.081,         39.100,,,,,,,,,
I02, 2025-01-17 00:55:30.000,   38905543.820,  152673753.044,         45.000,   38905540.477,  323402860.646,         38.500,,,,,,,,,
I02, 2025-01-17 00:56:00.000,   38902584.602,  152662139.358,         45.300,   38902580.879,  323378259.957,         38.600,,,,,,,,,
I02, 2025-01-17 00:56:30.000,   38899616.836,  152650494.295,         44.900,   38899613.238,  323353592.796,         38.800,,,,,,,,,
I02, 2025-01-17 00:57:00.000,   38896640.703,  152638816.308,         46.000,   38896636.781,  323328855.893,         37.100,,,,,,,,,
I02, 2025-01-17 00:57:30.000,   38893657.148,  152627106.487,         45.800,   38893652.887,  323304051.536,         37.900,,,,,,,,,
I02, 2025-01-17 00:58:00.000,   38890665.023,  152615365.302,         46.300,   38890660.875,  323279180.767,         36.400,,,,,,,,,
I02, 2025-01-17 00:58:30.000,   38887664.609,  152603591.918,         45.100,   38887660.426,  323254241.776,         37.200,,,,,,,,,
I02, 2025-01-17 00:59:00.000,   38884656.695,  152591787.200,         44.100,   38884652.270,  323229236.434,         37.100,,,,,,,,,
I02, 2025-01-17 00:59:30.000,   38881640.563,  152579950.900,         44.600,   38881636.078,  323204164.204,         37.600,,,,,,,,,
I02, 2025-01-17 01:00:00.000,   38878616.281,  152568083.562,         44.600,   38878612.387,  323179026.233,         38.400,,,,,,,,,
I02, 2025-01-17 01:00:30.000,   38875584.023,  152556185.700,         45.400,   38875580.551,  323153823.605,         37.500,,,,,,,,,
I02, 2025-01-17 01:01:00.000,   38872544.461,  152544256.940,         45.400,   38872541.020,  323128555.543,         37.700,,,,,,,,,
I02, 2025-01-17 01:01:30.000,   38869496.820,  152532297.381,         44.700,   38869493.320,  323103222.251,         38.000,,,,,,,,,
I02, 2025-01-17 01:02:00.000,   38866442.016,  152520307.102,         46.000,   38866438.000,  323077823.882,         38.200,,,,,,,,,
I02, 2025-01-17 01:02:30.000,   38863378.273,  152508286.294,         45.500,   38863374.941,  323052360.828,         38.100,,,,,,,,,
I02, 2025-01-17 01:03:00.000,   38860307.727,  152496235.285,         43.800,   38860303.961,  323026833.822,         38.100,,,,,,,,,
I02, 2025-01-17 01:03:30.000,   38857229.234,  152484154.025,         45.300,   38857225.238,  323001242.741,         38.100,,,,,,,,,
I02, 2025-01-17 01:04:00.000,   38854142.625,  152472042.932,         45.600,   38854139.488,  322975588.469,         37.500,,,,,,,,,
I02, 2025-01-17 01:04:30.000,   38851048.445,  152459901.671,         44.700,   38851045.223,  322949870.285,         37.900,,,,,,,,,
I02, 2025-01-17 01:05:00.000,   38847947.438,  152447730.786,         46.000,   38847943.574,  322924089.388,         37.200,,,,,,,,,
I02, 2025-01-17 01:05:30.000,   38844838.961,  152435529.895,         45.600,   38844834.277,  322898244.912,         37.800,,,,,,,,,
I02, 2025-01-17 01:06:00.000,   38841722.211,  152423300.033,         44.800,   38841717.980,  322872339.064,         37.800,,,,,,,,,
I02, 2025-01-17 01:06:30.000,   38838598.195,  152411041.030,         46.100,   38838594.371,  322846371.501,         37.200,,,,,,,,,
I02, 2025-01-17 01:07:00.000,   38835466.898,  152398752.827,         46.700,   38835462.746,  322820342.101,         37.500,,,,,,,,,
I02, 2025-01-17 01:07:30.000,   38832328.336,  152386435.694,         46.200,   38832323.895,  322794251.391,         37.900,,,,,,,,,
I02, 2025-01-17 01:08:00.000,   38829182.320,  152374089.615,         46.300,   38829177.961,  322768099.376,         37.900,,,,,,,,,
I02, 2025-01-17 01:08:30.000,   38826029.414,  152361715.409,         45.400,   38826025.016,  322741887.807,         38.100,,,,,,,,,
I02, 2025-01-17 01:09:00.000,   38822868.133,  152349311.545,         44.000,   38822864.402,  322715613.404,         37.700,,,,,,,,,
I02, 2025-01-17 01:09:30.000,   38819700.313,  152336879.328,         46.600,   38819696.488,  322689278.930,         38.500,,,,,,,,,
I02, 2025-01-17 01:10:00.000,   38816524.914,  152324419.398,         44.600,   38816521.180,  322662885.798,         38.000,,,,,,,,,
I02, 2025-01-17 01:10:30.000,   38813343.016,  152311930.922,         46.100,   38813338.371,  322636432.178,         37.700,,,,,,,,,
I02, 2025-01-17 01:11:00.000,   38810153.352,  152299414.758,         43.800,   38810148.480,  322609919.910,         36.900,,,,,,,,,
I02, 2025-01-17 01:11:30.000,   38806956.781,  152286870.871,         45.100,   38806951.824,  322583348.924,         37.000,,,,,,,,,
I02, 2025-01-17 01:12:00.000,   38803753.180,  152274299.181,         45.700,   38803748.418,  322556719.029,         36.900,,,,,,,,,
I02, 2025-01-17 01:12:30.000,   38800542.758,  152261700.043,         46.500,   38800537.828,  322530031.015,         37.700,,,,,,,,,
I02, 2025-01-17 01:13:00.000,   38797325.141,  152249073.654,         45.600,   38797320.914,  322503285.296,         37.100,,,,,,,,,
I02, 2025-01-17 01:13:30.000,   38794100.734,  152236419.814,         42.900,   38794096.684,  322476481.419,         38.300,,,,,,,,,
I02, 2025-01-17 01:14:00.000,   38790869.828,  152223738.777,         45.800,   38790865.102,  322449619.957,         38.400,,,,,,,,,
I02, 2025-01-17 01:14:30.000,   38787631.477,  152211031.037,         46.000,   38787626.586,  322422701.910,         38.600,,,,,,,,,
I02, 2025-01-17 01:15:00.000,   38784386.180,  152198296.450,         46.000,   38784381.441,  322395726.998,         38.200,,,,,,,,,
I02, 2025-01-17 01:15:30.000,   38781134.320,  152185534.991,         46.300,   38781129.746,  322368695.182,         37.800,,,,,,,,,
I02, 2025-01-17 01:16:00.000,   38777875.422,  152172746.128,         45.400,   38777870.953,  322341605.312,         38.300,,,,,,,,,
I02, 2025-01-17 01:16:30.000,   38774610.063,  152159931.769,         45.400,   38774605.445,  322314461.433,         39.200,,,,,,,,,
I02, 2025-01-17 01:17:00.000,   38771337.727,  152147091.468,         46.700,   38771333.473,  322287262.607,         38.700,,,,,,,,,
I02, 2025-01-17 01:17:30.000,   38768059.758,  152134225.000,         43.500,   38768054.766,  322260008.354,         39.400,,,,,,,,,
I02, 2025-01-17 01:18:00.000,   38764774.156,  152121333.043,         45.000,   38764769.539,  322232700.124,         39.200,,,,,,,,,
I02, 2025-01-17 01:18:30.000,   38761482.938,  152108415.184,         46.900,   38761477.563,  322205337.046,         39.400,,,,,,,,,
I02, 2025-01-17 01:19:00.000,   38758184.148,  152095471.862,         46.500,   38758179.367,  322177920.034,         38.800,,,,,,,,,
I02, 2025-01-17 01:19:30.000,   38754879.766,  152082503.577,         47.000,   38754874.711,  322150450.140,         39.200,,,,,,,,,
I02, 2025-01-17 01:20:00.000,   38751568.586,  152069508.927,         47.000,   38751563.090,  322122924.395,         38.900,,,,,,,,,
I02, 2025-01-17 01:20:30.000,   38748250.867,  152056489.883,         46.000,   38748245.422,  322095346.973,         38.200,,,,,,,,,
I02, 2025-01-17 01:21:00.000,   38744926.594,  152043445.690,         44.900,   38744921.285,  322067716.296,         38.300,,,,,,,,,
I02, 2025-01-17 01:21:30.000,   38741596.852,  152030376.763,         46.500,   38741591.586,  322040033.214,         39.000,,,,,,,,,
I02, 2025-01-17 01:22:00.000,   38738260.539,  152017282.968,         46.800,   38738255.465,  322012297.487,         38.500,,,,,,,,,
I02, 2025-01-17 01:22:30.000,   38734917.406,  152004164.720,         46.700,   38734912.430,  321984509.954,         38.400,,,,,,,,,
I02, 2025-01-17 01:23:00.000,   38731568.250,  151991021.954,         45.600,   38731562.930,  321956670.471,         37.800,,,,,,,,,
I02, 2025-01-17 01:23:30.000,   38728213.375,  151977855.477,         47.000,   38728207.699,  321928780.768,         37.300,,,,,,,,,
I02, 2025-01-17 01:24:00.000,   38724851.781,  151964663.792,         46.400,   38724846.242,  321900837.668,         38.300,,,,,,,,,
I02, 2025-01-17 01:24:30.000,   38721484.016,  151951449.090,         47.000,   38721479.254,  321872845.818,         39.400,,,,,,,,,
I02, 2025-01-17 01:25:00.000,   38718110.813,  151938211.022,         47.300,   38718106.340,  321844804.485,         39.200,,,,,,,,,
I02, 2025-01-17 01:25:30.000,   38714731.055,  151924949.097,         47.000,   38714726.805,  321816712.597,         37.600,,,,,,,,,
I02, 2025-01-17 01:26:00.000,   38711346.164,  151911663.721,         47.800,   38711341.047,  321788571.077,         37.700,,,,,,,,,
I02, 2025-01-17 01:26:30.000,   38707954.750,  151898354.705,         46.700,   38707949.363,  321760379.481,         38.600,,,,,,,,,
I02, 2025-01-17 01:27:00.000,   38704557.234,  151885022.459,         47.000,   38704551.980,  321732138.692,         38.200,,,,,,,,,
I02, 2025-01-17 01:27:30.000,   38701154.383,  151871667.006,         46.900,   38701148.848,  321703848.756,         38.200,,,,,,,,,
I02, 2025-01-17 01:28:00.000,   38697744.609,  151858288.313,         47.000,   38697739.500,  321675509.573,         37.700,,,,,,,,,
I02, 2025-01-17 01:28:30.000,   38694330.883,  151844887.357,         46.800,   38694324.504,  321647123.239,         37.300,,,,,,,,,
I02, 2025-01-17 01:29:00.000,   38690909.344,  151831463.476,         47.000,   38690903.645,  321618688.334,         37.500,,,,,,,,,
I02, 2025-01-17 01:29:30.000,   38687483.945,  151818017.890,         46.600,   38687477.461,  321590207.467,         37.300,,,,,,,,,
I02, 2025-01-17 01:30:00.000,   38684051.820,  151804549.970,         46.300,   38684045.445,  321561679.296,         37.400,,,,,,,,,
I02, 2025-01-17 01:30:30.000,   38680614.070,  151791059.943,         45.000,   38680607.727,  321533104.343,         40.200,,,,,,,,,
I02, 2025-01-17 01:31:00.000,   38677170.641,  151777547.872,         42.600,   38677164.742,  321504482.652,         39.600,,,,,,,,,
I02, 2025-01-17 01:31:30.000,   38673722.750,  151764013.994,         45.800,   38673716.109,  321475814.669,         39.700,,,,,,,,,
I02, 2025-01-17 01:32:00.000,   38670268.250,  151750458.854,         46.600,   38670262.402,  321447101.754,         39.500,,,,,,,,,
I02, 2025-01-17 01:32:30.000,   38666808.320,  151736881.914,         47.000,   38666802.844,  321418342.745,         39.100,,,,,,,,,
I02, 2025-01-17 01:33:00.000,   38663343.000,  151723283.632,         47.500,   38663337.598,  321389538.446,         38.300,,,,,,,,,
I02, 2025-01-17 01:33:30.000,   38659872.938,  151709663.823,         45.500,   38659866.785,  321360688.527,         38.600,,,,,,,,,
I02, 2025-01-17 01:34:00.000,   38656396.922,  151696023.081,         47.000,   38656391.094,  321331794.300,         39.000,,,,,,,,,
I02, 2025-01-17 01:34:30.000,   38652915.430,  151682361.915,         47.200,   38652910.105,  321302856.806,         39.800,,,,,,,,,
I02, 2025-01-17 01:35:00.000,   38649429.094,  151668679.929,         45.000,   38649423.629,  321273875.228,         38.400,,,,,,,,,
I02, 2025-01-17 01:35:30.000,   38645937.188,  151654976.942,         44.900,   38645931.629,  321244849.153,         39.200,,,,,,,,,
I02, 2025-01-17 01:36:00.000,   38642440.414,  151641253.765,         46.500,   38642434.723,  321215780.310,         39.300,,,,,,,,,
I02, 2025-01-17 01:36:30.000,   38638938.680,  151627509.941,         46.000,   38638932.496,  321186667.755,         39.500,,,,,,,,,
I02, 2025-01-17 01:37:00.000,   38635431.750,  151613746.921,         44.500,   38635425.262,  321157514.541,         38.800,,,,,,,,,
I02, 2025-01-17 01:37:30.000,   38631919.758,  151599964.005,         46.900,   38631912.703,  321128319.163,         39.200,,,,,,,,,
I02, 2025-01-17 01:38:00.000,   38628401.961,  151586160.620,         47.100,   38628395.316,  321099080.425,         38.700,,,,,,,,,
I02, 2025-01-17 01:38:30.000,   38624879.688,  151572337.554,         46.700,   38624873.055,  321069800.002,         38.800,,,,,,,,,
I02, 2025-01-17 01:39:00.000,   38621352.203,  151558495.476,         45.200,   38621345.469,  321040479.343,         38.800,,,,,,,,,
I02, 2025-01-17 01:39:30.000,   38617819.609,  151544633.632,         44.700,   38617813.188,  321011116.788,         39.200,,,,,,,,,
I02, 2025-01-17 01:40:00.000,   38614282.680,  151530752.931,         44.900,   38614276.285,  320981714.302,         39.200,,,,,,,,,
I02, 2025-01-17 01:40:30.000,   38610741.141,  151516853.701,         47.600,   38610734.449,  320952272.589,         39.200,,,,,,,,,
I02, 2025-01-17 01:41:00.000,   38607194.883,  151502935.210,         46.700,   38607187.957,  320922790.054,         39.700,,,,,,,,,
I02, 2025-01-17 01:41:30.000,   38603643.680,  151488997.843,         45.800,   38603636.602,  320893267.544,         39.100,,,,,,,,,
I02, 2025-01-17 01:42:00.000,   38600086.836,  151475041.801,         47.100,   38600080.168,  320863705.472,         39.400,,,,,,,,,
I02, 2025-01-17 01:42:30.000,   38596526.148,  151461067.538,         47.500,   38596519.023,  320834104.826,         38.900,,,,,,,,,
I02, 2025-01-17 01:43:00.000,   38592961.047,  151447075.655,         46.400,   38592953.531,  320804466.847,         39.300,,,,,,,,,
I02, 2025-01-17 01:43:30.000,   38589390.391,  151433065.826,         47.100,   38589383.488,  320774790.835,         39.700,,,,,,,,,
I02, 2025-01-17 01:44:00.000,   38585816.523,  151419038.096,         46.900,   38585809.023,  320745076.944,         39.700,,,,,,,,,
I02, 2025-01-17 01:44:30.000,   38582236.961,  151404991.869,         46.900,   38582230.055,  320715323.877,         39.400,,,,,,,,,
I02, 2025-01-17 01:45:00.000,   38578653.570,  151390928.435,         46.700,   38578646.223,  320685534.375,         39.100,,,,,,,,,
