> PRN,time,C1C,L1C,S1C,C1X,L1X,S1X,C2W,L2W,S2W,C2X,L2X,S2X,C5X,L5X,S5X
I02, 2025-01-08 00:00:00.000,   38598516.633,  151468893.475,         43.700,   38598511.070,  320850644.422,         38.600,,,,,,,,,
I02, 2025-01-08 00:00:30.000,   38597276.836,  151464029.484,         44.100,   38597271.691,  320840341.213,         39.800,,,,,,,,,
I02, 2025-01-08 00:01:00.000,   38596028.734,  151459130.033,         44.600,   38596022.910,  320829962.888,         40.000,,,,,,,,,
I02, 2025-01-08 00:01:30.000,   38594770.852,  151454195.367,         43.800,   38594765.176,  320819510.000,         39.700,,,,,,,,,
I02, 2025-01-08 00:02:00.000,   38593504.367,  151449225.163,         44.500,   38593498.555,  320808981.832,         39.900,,,,,,,,,
I02, 2025-01-08 00:02:30.000,   38592229.148,  151444219.607,         43.600,   38592223.168,  320798378.772,         39.400,,,,,,,,,
I02, 2025-01-08 00:03:00.000,   38590944.977,  151439179.687,         43.700,   38590938.535,  320787702.942,         38.900,,,,,,,,,
I02, 2025-01-08 00:03:30.000,   38589651.500,  151434104.777,         43.200,   38589645.449,  320776952.978,         39.200,,,,,,,,,
I02, 2025-01-08 00:04:00.000,   38588349.164,  151428994.547,         43.200,   38588343.137,  320766128.229,         39.200,,,,,,,,,
I02, 2025-01-08 00:04:30.000,   38587038.148,  151423849.416,         43.200,   38587031.867,  320755229.564,         38.900,,,,,,,,,
I02, 2025-01-08 00:05:00.000,   38585718.188,  151418669.353,         44.000,   38585711.984,  320744256.883,         39.600,,,,,,,,,
I02, 2025-01-08 00:05:30.000,   38584389.828,  151413454.836,         43.200,   38584383.379,  320733211.277,         38.500,,,,,,,,,
I02, 2025-01-08 00:06:00.000,   38583052.031,  151408205.701,         44.000,   38583045.777,  320722092.339,         39.900,,,,,,,,,
I02, 2025-01-08 00:06:30.000,   38581706.078,  151402922.192,         42.900,   38581699.391,  320710900.575,         39.400,,,,,,,,,
I02, 2025-01-08 00:07:00.000,   38580350.352,  151397604.062,         43.400,   38580344.117,  320699635.483,         39.700,,,,,,,,,
I02, 2025-01-08 00:07:30.000,   38578986.539,  151392251.793,         43.600,   38578980.422,  320688298.095,         39.600,,,,,,,,,
I02, 2025-01-08 00:08:00.000,   38577614.164,  151386866.156,         42.600,   38577608.203,  320676890.020,         40.700,,,,,,,,,
I02, 2025-01-08 00:08:30.000,   38576233.148,  151381446.707,         42.600,   38576227.547,  320665410.347,         40.500,,,,,,,,,
I02, 2025-01-08 00:09:00.000,   38574843.719,  151375993.124,         43.900,   38574837.816,  320653858.370,         40.500,,,,,,,,,
I02, 2025-01-08 00:09:30.000,   38573445.234,  151370506.139,         44.300,   38573439.660,  320642235.640,         41.300,,,,,,,,,
I02, 2025-01-08 00:10:00.000,   38572038.820,  151364985.456,         42.800,   38572032.934,  320630541.550,         41.300,,,,,,,,,
I02, 2025-01-08 00:10:30.000,   38570623.148,  151359431.297,         43.400,   38570617.777,  320618776.577,         40.400,,,,,,,,,
I02, 2025-01-08 00:11:00.000,   38569199.508,  151353843.354,         43.800,   38569193.734,  320606939.996,         41.000,,,,,,,,,
I02, 2025-01-08 00:11:30.000,   38567767.148,  151348222.060,         43.400,   38567761.578,  320595032.830,         40.900,,,,,,,,,
I02, 2025-01-08 00:12:00.000,   38566326.313,  151342567.981,         42.900,   38566320.773,  320583056.196,         40.800,,,,,,,,,
I02, 2025-01-08 00:12:30.000,   38564876.523,  151336880.454,         42.500,   38564871.418,  320571008.745,         40.900,,,,,,,,,
I02, 2025-01-08 00:13:00.000,   38563419.430,  151331160.027,         43.000,   38563413.828,  320558891.607,         41.700,,,,,,,,,
I02, 2025-01-08 00:13:30.000,   38561953.094,  151325406.340,         43.900,   38561947.699,  320546704.020,         41.200,,,,,,,,,
I02, 2025-01-08 00:14:00.000,   38560478.305,  151319620.128,         42.200,   38560473.324,  320534447.541,         41.300,,,,,,,,,
I02, 2025-01-08 00:14:30.000,   38558995.852,  151313800.745,         42.800,   38558990.379,  320522120.825,         40.800,,,,,,,,,
I02, 2025-01-08 00:15:00.000,   38557504.625,  151307949.336,         43.200,   38557499.461,  320509726.291,         41.200,,,,,,,,,
I02, 2025-01-08 00:15:30.000,   38556005.266,  151302064.911,         43.000,   38555999.859,  320497261.808,         40.900,,,,,,,,,
I02, 2025-01-08 00:16:00.000,   38554497.609,  151296148.098,         42.000,   38554491.852,  320484728.729,         40.500,,,,,,,,,
I02, 2025-01-08 00:16:30.000,   38552981.727,  151290198.604,         42.200,   38552975.730,  320472126.459,         41.500,,,,,,,,,
I02, 2025-01-08 00:17:00.000,   38551457.773,  151284216.931,         42.900,   38551451.566,  320459455.988,         41.000,,,,,,,,,
I02, 2025-01-08 00:17:30.000,   38549925.063,  151278203.715,         42.900,   38549919.457,  320446718.718,         41.300,,,,,,,,,
I02, 2025-01-08 00:18:00.000,   38548384.656,  151272158.500,         43.900,   38548379.023,  320433913.665,         41.300,,,,,,,,,
I02, 2025-01-08 00:18:30.000,   38546835.820,  151266081.319,         43.000,   38546830.359,  320421040.901,         41.300,,,,,,,,,
I02, 2025-01-08 00:19:00.000,   38545279.945,  151259972.341,         42.300,   38545273.566,  320408100.788,         41.100,,,,,,,,,
I02, 2025-01-08 00:19:30.000,   38543714.930,  151253831.630,         44.100,   38543708.586,  320395093.429,         40.900,,,,,,,,,
I02, 2025-01-08 00:20:00.000,   38542141.992,  151247659.485,         43.500,   38542135.930,  320382019.494,         40.800,,,,,,,,,
I02, 2025-01-08 00:20:30.000,   38540561.508,  151241455.975,         43.400,   38540555.125,  320368879.104,         40.700,,,,,,,,,
I02, 2025-01-08 00:21:00.000,   38538971.930,  151235221.135,         44.100,   38538966.297,  320355672.355,         40.800,,,,,,,,,
I02, 2025-01-08 00:21:30.000,   38537375.961,  151228955.286,         44.400,   38537369.637,  320342399.942,         40.300,,,,,,,,,
I02, 2025-01-08 00:22:00.000,   38535771.453,  151222658.189,         43.400,   38535764.898,  320329061.300,         40.900,,,,,,,,,
I02, 2025-01-08 00:22:30.000,   38534158.867,  151216330.247,         44.200,   38534152.348,  320315657.354,         40.500,,,,,,,,,
I02, 2025-01-08 00:23:00.000,   38532538.883,  151209971.358,         44.000,   38532532.160,  320302187.838,         41.500,,,,,,,,,
I02, 2025-01-08 00:23:30.000,   38530910.602,  151203581.659,         44.300,   38530903.871,  320288653.062,         41.100,,,,,,,,,
I02, 2025-01-08 00:24:00.000,   38529274.281,  151197161.521,         44.400,   38529267.832,  320275053.809,         41.000,,,,,,,,,
I02, 2025-01-08 00:24:30.000,   38527630.773,  151190710.671,         42.900,   38527624.098,  320261389.521,         40.400,,,,,,,,,
I02, 2025-01-08 00:25:00.000,   38525978.844,  151184229.575,         44.200,   38525972.516,  320247661.176,         40.200,,,,,,,,,
I02, 2025-01-08 00:25:30.000,   38524320.047,  151177717.981,         43.400,   38524313.328,  320233868.254,         41.200,,,,,,,,,
I02, 2025-01-08 00:26:00.000,   38522652.930,  151171176.473,         43.400,   38522646.449,  320220011.961,         40.600,,,,,,,,,
I02, 2025-01-08 00:26:30.000,   38520978.555,  151164604.415,         44.200,   38520971.777,  320206090.923,         41.000,,,,,,,,,
I02, 2025-01-08 00:27:00.000,   38519296.586,  151158003.219,         44.900,   38519289.805,  320192108.163,         41.800,,,,,,,,,
I02, 2025-01-08 00:27:30.000,   38517606.383,  151151372.021,         45.000,   38517600.113,  320178061.839,         41.600,,,,,,,,,
I02, 2025-01-08 00:28:00.000,   38515909.398,  151144711.300,         45.100,   38515902.855,  320163953.007,         40.900,,,,,,,,,
I02, 2025-01-08 00:28:30.000,   38514204.555,  151138020.716,         43.500,   38514197.949,  320149780.928,         41.300,,,,,,,,,
I02, 2025-01-08 00:29:00.000,   38512492.328,  151131300.647,         45.600,   38512485.348,  320135546.378,         41.200,,,,,,,,,
I02, 2025-01-08 00:29:30.000,   38510771.992,  151124551.009,         44.700,   38510765.473,  320121249.220,         40.900,,,,,,,,,
I02, 2025-01-08 00:30:00.000,   38509044.859,  151117772.450,         42.700,   38509037.875,  320106890.791,         41.100,,,,,,,,,
I02, 2025-01-08 00:30:30.000,   38507310.383,  151110964.629,         44.700,   38507303.301,  320092470.365,         40.900,,,,,,,,,
I02, 2025-01-08 00:31:00.000,   38505567.781,  151104128.274,         44.100,   38505560.949,  320077989.513,         39.900,,,,,,,,,
I02, 2025-01-08 00:31:30.000,   38503818.672,  151097262.181,         45.100,   38503811.148,  320063445.660,         39.900,,,,,,,,,
I02, 2025-01-08 00:32:00.000,   38502061.773,  151090367.900,         44.300,   38502054.531,  320048842.095,         40.700,,,,,,,,,
I02, 2025-01-08 00:32:30.000,   38500297.813,  151083444.619,         43.200,   38500290.293,  320034177.082,         40.400,,,,,,,,,
I02, 2025-01-08 00:33:00.000,   38498526.688,  151076493.470,         44.500,   38498519.180,  320019453.029,         41.100,,,,,,,,,
I02, 2025-01-08 00:33:30.000,   38496748.133,  151069513.684,         44.700,   38496740.609,  320004668.325,         40.400,,,,,,,,,
I02, 2025-01-08 00:34:00.000,   38494962.055,  151062505.126,         42.700,   38494954.711,  319989822.669,         40.900,,,,,,,,,
I02, 2025-01-08 00:34:30.000,   38493169.359,  151055469.041,         44.700,   38493161.852,  319974918.698,         40.900,,,,,,,,,
I02, 2025-01-08 00:35:00.000,   38491369.031,  151048404.376,         44.400,   38491361.855,  319959954.207,         40.900,,,,,,,,,
I02, 2025-01-08 00:35:30.000,   38489562.086,  151041312.167,         44.600,   38489554.703,  319944931.362,         40.300,,,,,,,,,
I02, 2025-01-08 00:36:00.000,   38487747.695,  151034192.241,         42.700,   38487740.238,  319929849.813,         39.900,,,,,,,,,
I02, 2025-01-08 00:36:30.000,   38485926.258,  151027045.104,         45.600,   38485918.715,  319914710.614,         40.600,,,,,,,,,
I02, 2025-01-08 00:37:00.000,   38484098.195,  151019870.130,         44.700,   38484090.234,  319899512.474,         40.500,,,,,,,,,
I02, 2025-01-08 00:37:30.000,   38482263.047,  151012668.058,         43.000,   38482254.961,  319884256.919,         40.100,,,,,,,,,
I02, 2025-01-08 00:38:00.000,   38480420.867,  151005438.678,         45.000,   38480412.781,  319868943.529,         40.500,,,,,,,,,
I02, 2025-01-08 00:38:30.000,   38478571.570,  150998181.766,         45.500,   38478563.605,  319853571.803,         40.800,,,,,,,,,
I02, 2025-01-08 00:39:00.000,   38476715.625,  150990898.272,         44.400,   38476707.523,  319838143.811,         39.800,,,,,,,,,
I02, 2025-01-08 00:39:30.000,   38474852.852,  150983587.970,         44.000,   38474844.910,  319822659.013,         40.800,,,,,,,,,
I02, 2025-01-08 00:40:00.000,   38472982.641,  150976250.630,         43.700,   38472975.289,  319807116.950,         41.300,,,,,,,,,
I02, 2025-01-08 00:40:30.000,   38471106.195,  150968886.661,         42.900,   38471099.055,  319791518.485,         40.600,,,,,,,,,
I02, 2025-01-08 00:41:00.000,   38469222.680,  150961496.165,         43.600,   38469215.828,  319775863.809,         41.300,,,,,,,,,
I02, 2025-01-08 00:41:30.000,   38467333.375,  150954079.579,         45.000,   38467326.238,  319760153.891,         41.700,,,,,,,,,
I02, 2025-01-08 00:42:00.000,   38465436.641,  150946637.116,         43.500,   38465429.824,  319744389.130,         42.000,,,,,,,,,
I02, 2025-01-08 00:42:30.000,   38463533.594,  150939168.758,         44.700,   38463526.875,  319728569.543,         42.200,,,,,,,,,
I02, 2025-01-08 00:43:00.000,   38461624.203,  150931673.576,         44.100,   38461616.813,  319712693.117,         41.700,,,,,,,,,
I02, 2025-01-08 00:43:30.000,   38459707.188,  150924152.333,         44.300,   38459700.023,  319696761.483,         41.100,,,,,,,,,
I02, 2025-01-08 00:44:00.000,   38457783.922,  150916605.711,         44.200,   38457776.605,  319680776.103,         41.100,,,,,,,,,
I02, 2025-01-08 00:44:30.000,   38455854.891,  150909033.127,         44.100,   38455846.840,  319664735.713,         40.900,,,,,,,,,
I02, 2025-01-08 00:45:00.000,   38453918.430,  150901435.203,         43.800,   38453910.875,  319648641.656,         40.500,,,,,,,,,
I02, 2025-01-08 00:45:30.000,   38451976.727,  150893812.629,         43.700,   38451968.402,  319632495.351,         39.900,,,,,,,,,
I02, 2025-01-08 00:46:00.000,   38450026.992,  150886164.406,         44.700,   38450019.488,  319616294.735,         40.100,,,,,,,,,
I02, 2025-01-08 00:46:30.000,   38448072.227,  150878490.953,         44.500,   38448064.203,  319600040.661,         40.500,,,,,,,,,
I02, 2025-01-08 00:47:00.000,   38446110.547,  150870792.534,         42.800,   38446102.438,  319583733.706,         40.100,,,,,,,,,
I02, 2025-01-08 00:47:30.000,   38444142.563,  150863069.209,         45.400,   38444134.586,  319567373.996,         40.400,,,,,,,,,
I02, 2025-01-08 00:48:00.000,   38442168.086,  150855321.282,         44.700,   38442160.133,  319550962.160,         40.400,,,,,,,,,
I02, 2025-01-08 00:48:30.000,   38440187.906,  150847548.677,         42.600,   38440179.398,  319534498.067,         39.700,,,,,,,,,
I02, 2025-01-08 00:49:00.000,   38438200.531,  150839751.568,         44.900,   38438192.371,  319517982.063,         40.300,,,,,,,,,
I02, 2025-01-08 00:49:30.000,   38436207.578,  150831930.290,         45.000,   38436199.426,  319501414.863,         39.900,,,,,,,,,
I02, 2025-01-08 00:50:00.000,   38434208.641,  150824084.910,         45.200,   38434200.160,  319484796.614,         40.200,,,,,,,,,
I02, 2025-01-08 00:50:30.000,   38432203.367,  150816215.682,         43.700,   38432194.785,  319468127.865,         37.800,,,,,,,,,
I02, 2025-01-08 00:51:00.000,   38430192.586,  150808322.675,         42.800,   38430183.262,  319451408.726,         39.400,,,,,,,,,
I02, 2025-01-08 00:51:30.000,   38428174.555,  150800405.570,         45.000,   38428165.875,  319434638.573,         39.500,,,,,,,,,
I02, 2025-01-08 00:52:00.000,   38426151.750,  150792464.755,         44.700,   38426142.336,  319417818.166,         39.600,,,,,,,,,
I02, 2025-01-08 00:52:30.000,   38424121.930,  150784500.369,         42.500,   38424112.504,  319400947.850,         40.000,,,,,,,,,
I02, 2025-01-08 00:53:00.000,   38422086.844,  150776512.659,         42.400,   38422077.008,  319384028.128,         39.000,,,,,,,,,
I02, 2025-01-08 00:53:30.000,   38420045.648,  150768501.644,         45.200,   38420035.445,  319367059.036,         39.400,,,,,,,,,
I02, 2025-01-08 00:54:00.000,   38417998.094,  150760467.907,         43.300,   38417988.414,  319350041.825,         38.900,,,,,,,,,
I02, 2025-01-08 00:54:30.000,   38415945.656,  150752410.707,         42.500,   38415935.379,  319332974.899,         39.100,,,,,,,,,
I02, 2025-01-08 00:55:00.000,   38413886.719,  150744331.774,         42.200,   38413877.008,  319315861.921,         40.400,,,,,,,,,
I02, 2025-01-08 00:55:30.000,   38411822.813,  150736229.838,         44.500,   38411812.445,  319298700.240,         39.400,,,,,,,,,
I02, 2025-01-08 00:56:00.000,   38409751.758,  150728104.824,         44.300,   38409741.984,  319281489.657,         39.000,,,,,,,,,
I02, 2025-01-08 00:56:30.000,   38407676.031,  150719957.659,         42.500,   38407666.023,  319264232.150,         40.400,,,,,,,,,
I02, 2025-01-08 00:57:00.000,   38405593.805,  150711788.283,         44.600,   38405584.504,  319246927.606,         40.500,,,,,,,,,
I02, 2025-01-08 00:57:30.000,   38403506.680,  150703596.533,         43.700,   38403497.168,  319229575.669,         40.800,,,,,,,,,
I02, 2025-01-08 00:58:00.000,   38401413.750,  150695382.978,         44.700,   38401404.621,  319212177.554,         40.500,,,,,,,,,
I02, 2025-01-08 00:58:30.000,   38399314.977,  150687147.031,         42.100,   38399306.000,  319194731.974,         40.500,,,,,,,,,
I02, 2025-01-08 00:59:00.000,   38397211.281,  150678889.807,         45.000,   38397202.023,  319177241.326,         40.900,,,,,,,,,
I02, 2025-01-08 00:59:30.000,   38395101.844,  150670610.536,         44.700,   38395092.238,  319159704.014,         40.800,,,,,,,,,
I02, 2025-01-08 01:00:00.000,   38392986.297,  150662310.008,         45.800,   38392977.016,  319142121.614,         40.800,,,,,,,,,
I02, 2025-01-08 01:00:30.000,   38390866.039,  150653988.419,         42.000,   38390856.359,  319124494.590,         40.100,,,,,,,,,
I02, 2025-01-08 01:01:00.000,   38388739.844,  150645645.558,         45.100,   38388730.246,  319106822.528,         40.400,,,,,,,,,
I02, 2025-01-08 01:01:30.000,   38386608.805,  150637281.943,         44.800,   38386598.711,  319089106.490,         40.100,,,,,,,,,
I02, 2025-01-08 01:02:00.000,   38384472.039,  150628897.505,         45.600,   38384462.168,  319071346.322,         40.400,,,,,,,,,
I02, 2025-01-08 01:02:30.000,   38382330.641,  150620492.010,         43.000,   38382320.184,  319053541.518,         40.200,,,,,,,,,
I02, 2025-01-08 01:03:00.000,   38380183.359,  150612065.625,         45.400,   38380172.918,  319035692.493,         40.600,,,,,,,,,
I02, 2025-01-08 01:03:30.000,   38378030.945,  150603618.788,         45.500,   38378020.086,  319017800.133,         39.700,,,,,,,,,
I02, 2025-01-08 01:04:00.000,   38375872.563,  150595151.233,         45.200,   38375862.359,  318999863.860,         39.600,,,,,,,,,
I02, 2025-01-08 01:04:30.000,   38373710.508,  150586664.455,         44.100,   38373699.625,  318981886.870,         39.900,,,,,,,,,
I02, 2025-01-08 01:05:00.000,   38371542.664,  150578157.087,         44.600,   38371531.793,  318963866.280,         39.400,,,,,,,,,
I02, 2025-01-08 01:05:30.000,   38369369.563,  150569630.289,         46.800,   38369359.207,  318945804.515,         39.500,,,,,,,,,
I02, 2025-01-08 01:06:00.000,   38367191.375,  150561083.546,         43.000,   38367181.336,  318927700.526,         39.900,,,,,,,,,
I02, 2025-01-08 01:06:30.000,   38365008.961,  150552517.269,         44.500,   38364998.504,  318909555.163,         39.800,,,,,,,,,
I02, 2025-01-08 01:07:00.000,   38362820.961,  150543931.468,         46.500,   38362810.871,  318891368.458,         39.900,,,,,,,,,
I02, 2025-01-08 01:07:30.000,   38360628.289,  150535326.328,         46.600,   38360618.176,  318873140.799,         39.900,,,,,,,,,
I02, 2025-01-08 01:08:00.000,   38358430.938,  150526701.842,         46.700,   38358420.523,  318854872.198,         40.400,,,,,,,,,
I02, 2025-01-08 01:08:30.000,   38356228.102,  150518057.908,         47.000,   38356217.949,  318836562.366,         40.500,,,,,,,,,
I02, 2025-01-08 01:09:00.000,   38354020.602,  150509395.416,         43.100,   38354010.758,  318818213.247,         41.300,,,,,,,,,
I02, 2025-01-08 01:09:30.000,   38351808.695,  150500714.644,         47.200,   38351798.738,  318799825.403,         40.900,,,,,,,,,
I02, 2025-01-08 01:10:00.000,   38349591.992,  150492014.995,         45.100,   38349582.203,  318781397.615,         40.600,,,,,,,,,
I02, 2025-01-08 01:10:30.000,   38347370.336,  150483296.365,         46.600,   38347360.457,  318762929.583,         40.700,,,,,,,,,
I02, 2025-01-08 01:11:00.000,   38345144.000,  150474559.540,         47.000,   38345134.051,  318744423.026,         40.700,,,,,,,,,
I02, 2025-01-08 01:11:30.000,   38342913.211,  150465804.276,         47.200,   38342902.871,  318725877.397,         40.600,,,,,,,,,
I02, 2025-01-08 01:12:00.000,   38340677.734,  150457031.156,         46.700,   38340667.078,  318707293.935,         39.900,,,,,,,,,
I02, 2025-01-08 01:12:30.000,   38338437.398,  150448239.826,         47.200,   38338426.922,  318688671.898,         40.500,,,,,,,,,
I02, 2025-01-08 01:13:00.000,   38336192.969,  150439430.805,         46.800,   38336182.375,  318670012.431,         41.300,,,,,,,,,
I02, 2025-01-08 01:13:30.000,   38333943.641,  150430603.884,         47.400,   38333933.113,  318651314.981,         41.000,,,,,,,,,
I02, 2025-01-08 01:14:00.000,   38331690.047,  150421759.969,         46.300,   38331679.547,  318632581.579,         40.900,,,,,,,,,
I02, 2025-01-08 01:14:30.000,   38329431.602,  150412898.374,         47.500,   38329421.625,  318613810.711,         40.300,,,,,,,,,
I02, 2025-01-08 01:15:00.000,   38327169.258,  150404020.283,         47.500,   38327159.305,  318595004.898,         40.900,,,,,,,,,
I02, 2025-01-08 01:15:30.000,   38324902.523,  150395125.412,         44.300,   38324892.551,  318576163.521,         39.400,,,,,,,,,
I02, 2025-01-08 01:16:00.000,   38322631.797,  150386213.231,         47.800,   38322621.734,  318557285.517,         41.400,,,,,,,,,
I02, 2025-01-08 01:16:30.000,   38320356.570,  150377283.680,         47.900,   38320346.133,  318538370.692,         40.600,,,,,,,,,
I02, 2025-01-08 01:17:00.000,   38318076.930,  150368337.084,         47.500,   38318066.363,  318519419.783,         41.200,,,,,,,,,
I02, 2025-01-08 01:17:30.000,   38315793.234,  150359375.135,         48.000,   38315782.844,  318500436.340,         41.400,,,,,,,,,
I02, 2025-01-08 01:18:00.000,   38313505.031,  150350396.366,         48.500,   38313494.906,  318481417.247,         40.900,,,,,,,,,
I02, 2025-01-08 01:18:30.000,   38311213.055,  150341401.299,         48.500,   38311202.516,  318462363.640,         39.200,,,,,,,,,
I02, 2025-01-08 01:19:00.000,   38308917.203,  150332390.592,         48.100,   38308905.922,  318443276.883,         39.400,,,,,,,,,
I02, 2025-01-08 01:19:30.000,   38306617.031,  150323363.881,         48.700,   38306605.152,  318424156.204,         38.900,,,,,,,,,
I02, 2025-01-08 01:20:00.000,   38304312.773,  150314321.775,         45.800,   38304300.891,  318405002.925,         38.800,,,,,,,,,
I02, 2025-01-08 01:20:30.000,   38302004.117,  150305263.014,         48.100,   38301992.430,  318385814.346,         38.700,,,,,,,,,
I02, 2025-01-08 01:21:00.000,   38299691.992,  150296189.386,         47.000,   38299680.594,  318366594.277,         40.000,,,,,,,,,
I02, 2025-01-08 01:21:30.000,   38297376.758,  150287100.227,         45.300,   38297364.613,  318347341.313,         40.000,,,,,,,,,
I02, 2025-01-08 01:22:00.000,   38295056.406,  150277995.930,         48.400,   38295044.699,  318328056.272,         39.200,,,,,,,,,
I02, 2025-01-08 01:22:30.000,   38292732.555,  150268876.619,         47.500,   38292720.867,  318308739.428,         40.100,,,,,,,,,
I02, 2025-01-08 01:23:00.000,   38290405.180,  150259742.598,         46.700,   38290393.418,  318289391.422,         40.000,,,,,,,,,
I02, 2025-01-08 01:23:30.000,   38288074.055,  150250593.895,         45.600,   38288062.078,  318270012.349,         39.500,,,,,,,,,
I02, 2025-01-08 01:24:00.000,   38285738.922,  150241430.446,         48.300,   38285727.516,  318250602.015,         41.500,,,,,,,,,
I02, 2025-01-08 01:24:30.000,   38283400.328,  150232253.181,         46.600,   38283389.465,  318231162.433,         41.700,,,,,,,,,
I02, 2025-01-08 01:25:00.000,   38281058.398,  150223061.608,         48.100,   38281047.238,  318211692.539,         41.600,,,,,,,,,
I02, 2025-01-08 01:25:30.000,   38278712.773,  150213855.615,         47.000,   38278701.063,  318192192.125,         41.700,,,,,,,,,
I02, 2025-01-08 01:26:00.000,   38276362.836,  150204635.333,         45.600,   38276351.344,  318172661.437,         41.200,,,,,,,,,
I02, 2025-01-08 01:26:30.000,   38274010.055,  150195400.685,         47.400,   38273998.020,  318153100.315,         42.100,,,,,,,,,
I02, 2025-01-08 01:27:00.000,   38271653.063,  150186152.880,         47.300,   38271641.211,  318133511.323,         41.300,,,,,,,,,
I02, 2025-01-08 01:27:30.000,   38269292.797,  150176890.528,         47.300,   38269280.867,  318113891.521,         40.900,,,,,,,,,
I02, 2025-01-08 01:28:00.000,   38266929.570,  150167615.495,         46.700,   38266917.535,  318094244.887,         41.600,,,,,,,,,
I02, 2025-01-08 01:28:30.000,   38264562.906,  150158327.774,         44.700,   38264550.598,  318074571.365,         40.800,,,,,,,,,
I02, 2025-01-08 01:29:00.000,   38262193.141,  150149027.124,         47.500,   38262180.594,  318054870.490,         41.500,,,,,,,,,
I02, 2025-01-08 01:29:30.000,   38259819.930,  150139713.043,         47.400,   38259807.336,  318035141.173,         42.000,,,,,,,,,
I02, 2025-01-08 01:30:00.000,   38257442.977,  150130385.857,         47.600,   38257430.738,  318015384.091,         41.500,,,,,,,,,
I02, 2025-01-08 01:30:30.000,   38255063.000,  150121046.145,         45.800,   38255050.758,  317995600.509,         41.200,,,,,,,,,
I02, 2025-01-08 01:31:00.000,   38252680.289,  150111694.486,         46.500,   38252667.547,  317975791.606,         40.900,,,,,,,,,
I02, 2025-01-08 01:31:30.000,   38250293.547,  150102329.653,         47.700,   38250281.352,  317955954.826,         41.400,,,,,,,,,
I02, 2025-01-08 01:32:00.000,   38247904.539,  150092952.954,         47.800,   38247891.977,  317936092.916,         42.200,,,,,,,,,
I02, 2025-01-08 01:32:30.000,   38245512.039,  150083563.427,         46.600,   38245499.582,  317916203.826,         42.600,,,,,,,,,
I02, 2025-01-08 01:33:00.000,   38243116.422,  150074162.609,         46.500,   38243103.965,  317896290.837,         42.800,,,,,,,,,
I02, 2025-01-08 01:33:30.000,   38240718.219,  150064750.238,         47.300,   38240705.711,  317876353.377,         42.500,,,,,,,,,
I02, 2025-01-08 01:34:00.000,   38238316.313,  150055325.561,         47.500,   38238304.230,  317856389.853,         42.700,,,,,,,,,
I02, 2025-01-08 01:34:30.000,   38235912.125,  150045889.683,         46.900,   38235899.871,  317836402.589,         43.000,,,,,,,,,
I02, 2025-01-08 01:35:00.000,   38233504.656,  150036442.489,         46.100,   38233492.539,  317816391.339,         42.600,,,,,,,,,
I02, 2025-01-08 01:35:30.000,   38231094.109,  150026983.866,         45.500,   38231082.234,  317796355.863,         42.600,,,,,,,,,
I02, 2025-01-08 01:36:00.000,   38228681.414,  150017514.109,         46.800,   38228668.945,  317776296.798,         42.100,,,,,,,,,
I02, 2025-01-08 01:36:30.000,   38226265.477,  150008033.331,         47.000,   38226253.391,  317756214.364,         42.600,,,,,,,,,
I02, 2025-01-08 01:37:00.000,   38223846.625,  149998542.293,         44.700,   38223834.805,  317736110.185,         42.500,,,,,,,,,
I02, 2025-01-08 01:37:30.000,   38221425.398,  149989041.008,         46.900,   38221413.805,  317715984.288,         42.500,,,,,,,,,
I02, 2025-01-08 01:38:00.000,   38219001.430,  149979529.370,         46.900,   38218989.957,  317695836.452,         42.000,,,,,,,,,
I02, 2025-01-08 01:38:30.000,   38216575.609,  149970007.740,         44.700,   38216563.359,  317675667.442,         41.300,,,,,,,,,
I02, 2025-01-08 01:39:00.000,   38214146.703,  149960475.862,         46.000,   38214134.242,  317655476.702,         41.600,,,,,,,,,
I02, 2025-01-08 01:39:30.000,   38211715.227,  149950934.135,         46.400,   38211702.629,  317635265.091,         40.500,,,,,,,,,
I02, 2025-01-08 01:40:00.000,   38209281.523,  149941382.445,         45.400,   38209268.996,  317615032.378,         41.800,,,,,,,,,
I02, 2025-01-08 01:40:30.000,   38206844.844,  149931820.857,         45.500,   38206832.219,  317594778.692,         41.300,,,,,,,,,
I02, 2025-01-08 01:41:00.000,   38204405.594,  149922249.660,         45.800,   38204393.430,  317574504.620,         41.200,,,,,,,,,
I02, 2025-01-08 01:41:30.000,   38201964.578,  149912668.872,         45.400,   38201952.063,  317554210.243,         40.200,,,,,,,,,
I02, 2025-01-08 01:42:00.000,   38199520.664,  149903079.314,         44.200,   38199508.457,  317533897.282,         41.000,,,,,,,,,
I02, 2025-01-08 01:42:30.000,   38197074.656,  149893480.090,         46.600,   38197062.105,  317513563.864,         40.800,,,,,,,,,
I02, 2025-01-08 01:43:00.000,   38194626.711,  149883872.218,         45.000,   38194614.129,  317493212.104,         41.400,,,,,,,,,
I02, 2025-01-08 01:43:30.000,   38192176.055,  149874255.819,         44.300,   38192163.992,  317472842.273,         40.800,,,,,,,,,
I02, 2025-01-08 01:44:00.000,   38189723.391,  149864630.894,         44.400,   38189711.441,  317452454.386,         41.200,,,,,,,,,
I02, 2025-01-08 01:44:30.000,   38187268.359,  149854996.892,         44.200,   38187256.148,  317432047.278,         38.800,,,,,,,,,
I02, 2025-01-08 01:45:00.000,   38184811.164,  149845354.481,         45.200,   38184798.895,  317411622.367,         40.200,,,,,,,,,
